Starting..
====================
iteration 0
Starting job in nedd policy..
startTime:Sat Jan 23 15:09:30 PST 2021

# Create System:
# Done .... 
# miniMD-Reference 2.0 (MPI+OpenMP) output ...
# Run Settings: 
	# MPI processes: 2176
	# OpenMP threads: 1
	# Inputfile: in.lj.miniMD
	# Datafile: None
# Physics Settings: 
	# ForceStyle: LJ
	# Force Parameters: 1.00 1.00
	# Units: LJ
	# Atoms: 131072
	# Atom types: 4
	# System size: 53.75 53.75 53.75 (unit cells: 32 32 32)
	# Density: 0.844200
	# Force cutoff: 2.500000
	# Timestep size: 0.005000
# Technical Settings: 
	# Neigh cutoff: 2.800000
	# Half neighborlists: 1
26200 6.952629e-01 -5.666403e+00 7.424028e-01 46.922
26300 6.964630e-01 -5.668179e+00 7.436159e-01 47.136
26400 6.972436e-01 -5.669472e+00 7.302506e-01 47.325
26500 6.953605e-01 -5.666517e+00 7.442231e-01 47.518
26600 6.964241e-01 -5.668047e+00 7.426208e-01 47.698
26700 6.985640e-01 -5.671328e+00 7.292895e-01 47.876
26800 6.968718e-01 -5.668815e+00 7.376353e-01 48.066
26900 6.963129e-01 -5.668035e+00 7.418425e-01 48.258
27000 6.958037e-01 -5.667261e+00 7.494818e-01 48.446
27100 6.975547e-01 -5.669752e+00 7.382666e-01 48.659
27200 6.978154e-01 -5.670138e+00 7.336616e-01 48.840
27300 6.956806e-01 -5.667014e+00 7.421816e-01 49.028
27400 6.972126e-01 -5.669358e+00 7.377788e-01 49.216
27500 6.968843e-01 -5.668923e+00 7.389120e-01 49.412
27600 6.949861e-01 -5.666108e+00 7.483712e-01 49.588
27700 6.978488e-01 -5.670307e+00 7.247313e-01 49.776
27800 6.975252e-01 -5.669838e+00 7.350763e-01 49.976
27900 6.963171e-01 -5.668147e+00 7.384109e-01 50.184
28000 6.962653e-01 -5.668076e+00 7.408275e-01 50.381
28100 6.956611e-01 -5.667121e+00 7.465952e-01 50.569
28200 6.957264e-01 -5.667220e+00 7.522558e-01 50.751
28300 6.958570e-01 -5.667421e+00 7.426378e-01 50.926
28400 6.972985e-01 -5.669641e+00 7.350791e-01 51.122
28500 6.965090e-01 -5.668450e+00 7.406179e-01 51.306
28600 6.965686e-01 -5.668633e+00 7.446176e-01 51.472
28700 6.949087e-01 -5.666067e+00 7.527734e-01 51.663
28800 6.968698e-01 -5.669101e+00 7.381043e-01 51.865
28900 6.961506e-01 -5.667819e+00 7.463085e-01 52.069
29000 6.960215e-01 -5.667846e+00 7.408691e-01 52.287
29100 6.941798e-01 -5.664988e+00 7.561892e-01 52.472
29200 6.970617e-01 -5.669429e+00 7.349816e-01 52.639
29300 6.953632e-01 -5.666836e+00 7.466607e-01 52.811
29400 6.947614e-01 -5.665967e+00 7.529650e-01 52.987
29500 6.960188e-01 -5.667774e+00 7.465471e-01 53.167
29600 6.955919e-01 -5.667197e+00 7.438876e-01 53.327
29700 6.980981e-01 -5.671038e+00 7.276650e-01 53.496
29800 6.963979e-01 -5.668535e+00 7.349428e-01 53.649
29900 6.951584e-01 -5.666580e+00 7.442062e-01 53.800
30000 6.982323e-01 -5.671238e+00 7.265218e-01 53.975
30100 6.966611e-01 -5.668929e+00 7.326621e-01 54.129
30200 6.978092e-01 -5.670549e+00 7.344368e-01 54.298
30300 6.976540e-01 -5.670497e+00 7.324905e-01 54.465
30400 6.956337e-01 -5.667476e+00 7.464760e-01 54.636
30500 6.967769e-01 -5.669045e+00 7.338073e-01 54.801
30600 6.965969e-01 -5.668867e+00 7.380254e-01 54.979
30700 6.955240e-01 -5.667175e+00 7.487469e-01 55.127
30800 6.954401e-01 -5.667189e+00 7.404951e-01 55.246
30900 6.954056e-01 -5.667100e+00 7.427509e-01 55.367
31000 6.970928e-01 -5.669690e+00 7.328647e-01 55.485
31100 6.947786e-01 -5.666265e+00 7.475039e-01 55.592
31200 6.940143e-01 -5.665080e+00 7.567211e-01 55.684
31300 6.961760e-01 -5.668353e+00 7.353831e-01 55.772
31400 6.954828e-01 -5.667401e+00 7.408783e-01 55.858
31500 6.962894e-01 -5.668583e+00 7.374353e-01 55.936
31600 6.947899e-01 -5.666199e+00 7.525201e-01 56.017
31700 6.948756e-01 -5.666378e+00 7.499092e-01 56.092
31800 6.969877e-01 -5.669716e+00 7.348240e-01 56.173
31900 6.970775e-01 -5.669770e+00 7.296807e-01 56.251
32000 6.972257e-01 -5.669933e+00 7.361088e-01 56.333
32100 6.970691e-01 -5.669770e+00 7.339241e-01 56.422
32200 6.966634e-01 -5.669194e+00 7.377239e-01 56.551
